booking_id,guest_id,room_id,room_number,room_type,booking_date,check_in,check_out,nights,lead_time_days,adults,children,booking_month,weekday,season,channel,nationality,breakfast,upgraded,member_tier_at_booking,status,cancel_date,rate_per_night,room_charge,extra_charge,discount,service_charge,vat,total_price,commission,net_revenue
1,1,5,105,Standard,2024-09-07,2025-01-31,2025-02-01,1,146,1,0,2025-01,Friday,High,OTA,Japanese,0,0,Regular,CHECKED_OUT,,1610.0,1610.0,0,0.0,161.0,123.97,1894.97,284.25,1610.72
2,2,10,110,Deluxe,2024-09-08,2025-03-07,2025-03-08,1,180,1,0,2025-03,Friday,Normal,OTA,Australian,0,0,Regular,CANCELLED,2025-02-12,2024.0,2024.0,0,0.0,202.4,155.85,2382.25,357.34,2024.91
3,2,13,203,Suite,2024-09-16,2025-01-18,2025-01-26,8,124,3,0,2025-01,Saturday,High,OTA,Australian,1,0,Regular,CHECKED_OUT,,4830.0,38640.0,8400,0.0,4704.0,3622.08,55366.08,8304.91,47061.17
4,3,1,101,Standard,2024-09-20,2025-01-10,2025-01-16,6,112,1,0,2025-01,Friday,High,Website,German,1,0,Regular,CHECKED_OUT,,1610.0,9660.0,2100,0.0,1176.0,905.52,13841.52,276.83,13564.69
5,4,6,106,Standard,2024-09-20,2025-01-02,2025-01-14,12,104,1,0,2025-01,Thursday,High,OTA,German,1,0,Regular,CHECKED_OUT,,1610.0,19320.0,4200,0.0,2352.0,1811.04,27683.04,4152.46,23530.58
6,5,8,108,Deluxe,2024-09-21,2025-01-01,2025-01-13,12,102,2,0,2025-01,Wednesday,High,Website,American,1,0,Regular,CHECKED_OUT,,2530.0,30360.0,8400,0.0,3876.0,2984.52,45620.52,912.41,44708.11
7,3,9,109,Deluxe,2024-09-22,2025-03-21,2025-03-22,1,180,2,0,2025-03,Friday,Normal,OTA,German,1,0,Regular,CHECKED_OUT,,2024.0,2024.0,700,0.0,272.4,209.75,3206.15,480.92,2725.23
8,3,4,104,Standard,2024-09-30,2025-02-17,2025-03-03,14,140,2,0,2025-02,Monday,High,Phone,German,1,0,Regular,CHECKED_OUT,,1610.0,22540.0,9800,0.0,3234.0,2490.18,38064.18,0.0,38064.18
9,6,13,203,Suite,2024-09-30,2025-01-11,2025-01-17,6,103,2,2,2025-01,Saturday,High,OTA,Russian,0,0,Regular,CHECKED_OUT,,4830.0,28980.0,0,0.0,2898.0,2231.46,34109.46,5116.42,28993.04
10,7,1,101,Standard,2024-10-02,2025-01-31,2025-02-03,3,121,2,1,2025-01,Friday,High,Website,Thai,1,0,Regular,NO_SHOW,,1610.0,4830.0,2100,0.0,693.0,533.61,8156.61,163.13,7993.48
11,8,11,201,Deluxe,2024-10-04,2025-01-08,2025-01-17,9,96,1,0,2025-01,Wednesday,High,Website,German,1,0,Regular,CHECKED_OUT,,2530.0,22770.0,3150,0.0,2592.0,1995.84,30507.84,610.16,29897.68
12,4,1,101,Standard,2024-10-07,2025-01-25,2025-01-31,6,110,1,0,2025-01,Saturday,High,OTA,German,1,0,Regular,CHECKED_OUT,,1610.0,9660.0,2100,0.0,1176.0,905.52,13841.52,2076.23,11765.29
13,9,10,110,Deluxe,2024-10-07,2025-04-05,2025-04-10,5,180,1,0,2025-04,Saturday,Normal,Phone,British,1,0,Regular,CHECKED_OUT,,2024.0,10120.0,1750,0.0,1187.0,913.99,13970.99,0.0,13970.99
14,9,12,202,Suite,2024-10-13,2025-01-16,2025-01-24,8,95,1,0,2025-01,Thursday,High,Website,British,1,0,Regular,CANCELLED,2024-12-20,4830.0,38640.0,2800,0.0,4144.0,3190.88,48774.88,975.5,47799.38
15,10,10,110,Deluxe,2024-10-13,2025-03-07,2025-03-13,6,145,2,0,2025-03,Friday,Normal,OTA,British,1,0,Regular,CHECKED_OUT,,2024.0,12144.0,4200,0.0,1634.4,1258.49,19236.89,2885.53,16351.35
16,2,15,205,Family,2024-10-15,2025-01-23,2025-01-24,1,100,2,2,2025-01,Thursday,High,Website,Australian,1,0,Regular,CHECKED_OUT,,3450.0,3450.0,700,0.0,415.0,319.55,4884.55,97.69,4786.86
17,6,7,107,Deluxe,2024-10-15,2025-03-08,2025-03-11,3,144,2,0,2025-03,Saturday,Normal,OTA,Russian,1,0,Regular,CANCELLED,2024-12-22,2024.0,6072.0,2100,0.0,817.2,629.24,9618.44,1442.77,8175.68
18,6,7,107,Deluxe,2024-10-16,2025-01-12,2025-01-16,4,88,2,0,2025-01,Sunday,High,OTA,Russian,0,0,Regular,CHECKED_OUT,,2530.0,10120.0,0,0.0,1012.0,779.24,11911.24,1786.69,10124.55
19,11,8,108,Deluxe,2024-10-16,2025-02-01,2025-02-04,3,108,2,0,2025-02,Saturday,High,Phone,Russian,0,0,Regular,CANCELLED,2025-01-04,2530.0,7590.0,0,0.0,759.0,584.43,8933.43,0.0,8933.43
20,3,4,104,Standard,2024-10-18,2025-04-16,2025-04-23,7,180,2,0,2025-04,Wednesday,Normal,OTA,German,1,0,Silver,CHECKED_OUT,,1288.0,9016.0,4900,695.8,1322.02,1017.96,15560.18,2334.03,13226.15
21,6,9,109,Deluxe,2024-10-19,2025-02-01,2025-02-06,5,105,1,0,2025-02,Saturday,High,OTA,Russian,0,0,Silver,CHECKED_OUT,,2530.0,12650.0,0,632.5,1201.75,925.35,14144.6,2121.69,12022.91
22,10,4,104,Standard,2024-10-19,2025-01-04,2025-01-08,4,77,2,0,2025-01,Saturday,High,Website,British,0,0,Regular,CHECKED_OUT,,1610.0,6440.0,0,0.0,644.0,495.88,7579.88,151.6,7428.28
23,12,2,102,Standard,2024-10-20,2025-02-05,2025-02-08,3,108,2,0,2025-02,Wednesday,High,Website,Indian,0,0,Regular,CHECKED_OUT,,1610.0,4830.0,0,0.0,483.0,371.91,5684.91,113.7,5571.21
24,5,15,205,Family,2024-10-22,2025-01-04,2025-01-09,5,74,2,2,2025-01,Saturday,High,OTA,American,1,0,Regular,CHECKED_OUT,,3450.0,17250.0,3500,0.0,2075.0,1597.75,24422.75,3663.41,20759.34
25,13,5,105,Standard,2024-10-23,2025-02-08,2025-02-12,4,108,2,0,2025-02,Saturday,High,Phone,Japanese,0,0,Regular,CHECKED_OUT,,1610.0,6440.0,0,0.0,644.0,495.88,7579.88,0.0,7579.88
26,14,2,102,Standard,2024-10-25,2025-02-23,2025-02-27,4,121,1,0,2025-02,Sunday,High,OTA,Russian,0,0,Regular,CHECKED_OUT,,1610.0,6440.0,0,0.0,644.0,495.88,7579.88,1136.98,6442.9
27,15,12,202,Suite,2024-10-25,2025-01-24,2025-01-26,2,91,2,2,2025-01,Friday,High,Website,Japanese,1,0,Regular,NO_SHOW,,4830.0,9660.0,1400,0.0,1106.0,851.62,13017.62,260.35,12757.27
28,16,14,204,Family,2024-10-26,2025-02-07,2025-02-09,2,104,2,1,2025-02,Friday,High,OTA,British,1,0,Regular,CANCELLED,2025-01-21,3450.0,6900.0,1400,0.0,830.0,639.1,9769.1,1465.37,8303.74
29,17,8,108,Deluxe,2024-10-27,2025-02-09,2025-02-15,6,105,2,0,2025-02,Sunday,High,Phone,Russian,1,0,Regular,CHECKED_OUT,,2530.0,15180.0,4200,0.0,1938.0,1492.26,22810.26,0.0,22810.26
30,18,2,102,Standard,2024-10-27,2025-04-25,2025-05-01,6,180,2,0,2025-04,Friday,Normal,OTA,Russian,1,0,Regular,CHECKED_OUT,,1288.0,7728.0,4200,0.0,1192.8,918.46,14039.26,2105.89,11933.37
31,3,15,205,Family,2024-10-28,2025-01-24,2025-02-03,10,88,2,0,2025-01,Friday,High,Phone,German,0,0,Silver,CHECKED_OUT,,3450.0,34500.0,0,1725.0,3277.5,2523.68,38576.18,0.0,38576.18
32,19,9,109,Deluxe,2024-10-28,2025-04-13,2025-04-16,3,167,2,0,2025-04,Sunday,Normal,Website,German,0,0,Regular,CHECKED_OUT,,2024.0,6072.0,0,0.0,607.2,467.54,7146.74,142.93,7003.81
33,20,7,107,Deluxe,2024-10-28,2025-01-10,2025-01-12,2,74,2,0,2025-01,Friday,High,OTA,Korean,0,0,Regular,CHECKED_OUT,,2530.0,5060.0,0,0.0,506.0,389.62,5955.62,893.34,5062.28
34,21,10,110,Deluxe,2024-10-29,2025-01-06,2025-01-08,2,69,2,0,2025-01,Monday,High,Phone,Chinese,0,0,Regular,CHECKED_OUT,,2530.0,5060.0,0,0.0,506.0,389.62,5955.62,0.0,5955.62
35,22,15,205,Family,2024-10-30,2025-02-08,2025-02-11,3,101,3,0,2025-02,Saturday,High,OTA,German,1,0,Regular,CHECKED_OUT,,3450.0,10350.0,3150,0.0,1350.0,1039.5,15889.5,2383.42,13506.08
36,14,4,104,Standard,2024-10-30,2025-04-28,2025-05-02,4,180,2,0,2025-04,Monday,Normal,Website,Russian,1,0,Regular,CHECKED_OUT,,1288.0,5152.0,2800,0.0,795.2,612.3,9359.5,187.19,9172.31
37,10,14,204,Family,2024-10-31,2025-01-24,2025-01-26,2,85,2,0,2025-01,Friday,High,Website,British,0,0,Regular,CHECKED_OUT,,3450.0,6900.0,0,0.0,690.0,531.3,8121.3,162.43,7958.87
38,23,9,109,Deluxe,2024-10-31,2025-01-10,2025-01-19,9,71,1,0,2025-01,Friday,High,Website,Russian,1,0,Regular,CHECKED_OUT,,2530.0,22770.0,3150,0.0,2592.0,1995.84,30507.84,610.16,29897.68
39,24,8,108,Deluxe,2024-11-04,2025-02-15,2025-02-17,2,103,1,0,2025-02,Saturday,High,OTA,Indian,0,0,Regular,CHECKED_OUT,,2530.0,5060.0,0,0.0,506.0,389.62,5955.62,893.34,5062.28
40,16,7,107,Deluxe,2024-11-04,2025-02-19,2025-02-22,3,107,2,0,2025-02,Wednesday,High,Phone,British,1,0,Regular,CHECKED_OUT,,2530.0,7590.0,2100,0.0,969.0,746.13,11405.13,0.0,11405.13
